x,y,Topic,Words,Size
9.53498,7.2914996,0,portfolio | mvis | uwmc | cramer | cnbc,4322
9.088643,7.470364,1,moon | theta | bb | biden | diamond,4125
8.617734,5.6285863,2,tlry | freeemotespack | emote | mrna | cash,3479
8.849015,7.2661953,3,burry | wendys | im | drunk | my,3325
9.024773,7.8239646,4,tesla | apes | gang | nvda | negg,3191
8.660179,5.6536994,5,tsla | spce | aapl | crsr | vix,3024
7.5635796,6.5005274,6,meme | stocks | power | my | green,2961
7.998878,6.0681515,7,dip | bag | clov | bags | dips,2855
8.438545,6.393514,8,market | inflation | margin | bb | sens,2795
9.175418,6.8649187,9,wsb | amd | wkhs | options | hood,2785
3.0955057,12.291714,10,calls | spy | puts | bought | buy,2565
2.6542869,13.247854,11,pop | pump | dump | gme | stocks,2506
2.9505842,12.188033,12,t52th52 | emote | tsla | 450 | 440,1936
4.1550694,11.485862,13,gme | recession | market | thread | open,1900
7.341919,6.6722107,14,porn | tendies | squeeze | shorts | facebook,1876
7.855075,5.8945346,15,jpow | mnmd | printing | stonks | printer,1875
2.9994667,11.674634,16,bb | amc | down | today | break,1765
2.4377792,13.555725,17,spy | pltr | up | go | ladder,1725
3.7541113,11.2808485,18,puts | spy | gains | lose | losing,1658
2.6761255,12.393968,19,shares | volume | bb | gme | bought,1464
3.7053092,11.006296,20,bears | bulls | bull | bear | trap,1447
4.2608933,11.612675,21,retarded | ticker | tickers | retards | retard,1410
1.528764,11.526613,22,clov | clne | clf | lets | up,1299
1.8645082,11.631707,23,sofi | sndl | aso | go | up,1272
8.958252,5.402584,24,bb | baba | dkng | dfv | dwac,1237
